,HOLDINGS
V.DCE,342.0
ZC.CZC,184.0
JM.DCE,141.0
J.DCE,52.0
L.DCE,0.0
RB.SHF,0.0
I.DCE,0.0
PP.DCE,0.0
EG.DCE,0.0
RU.SHF,-89.0
HC.SHF,-294.0
BU.SHF,-323.0
TA.CZC,-337.0
MA.CZC,-420.0
