,HOLDINGS
V.DCE,26.0
EG.DCE,20.0
ZC.CZC,15.0
JM.DCE,11.0
RU.SHF,8.0
J.DCE,4.0
RB.SHF,0.0
HC.SHF,0.0
PP.DCE,0.0
I.DCE,-10.0
L.DCE,-23.0
TA.CZC,-28.0
BU.SHF,-28.0
MA.CZC,-39.0
