,HOLDINGS
MA.CZC,9.0
J.DCE,1.0
TA.CZC,0.0
L.DCE,0.0
RB.SHF,0.0
JM.DCE,0.0
HC.SHF,0.0
BU.SHF,0.0
ZC.CZC,0.0
I.DCE,0.0
PP.DCE,0.0
RU.SHF,-2.0
EG.DCE,-5.0
V.DCE,-6.0
