,HOLDINGS
EG.DCE,3.0
ZC.CZC,2.0
RU.SHF,1.0
J.DCE,1.0
MA.CZC,0.0
RB.SHF,0.0
JM.DCE,0.0
HC.SHF,0.0
I.DCE,0.0
PP.DCE,0.0
L.DCE,-3.0
TA.CZC,-4.0
BU.SHF,-4.0
V.DCE,-4.0
