,HOLDINGS
EG.DCE,47.0
I.DCE,23.0
TA.CZC,0.0
L.DCE,0.0
MA.CZC,0.0
RB.SHF,0.0
J.DCE,0.0
JM.DCE,0.0
ZC.CZC,0.0
PP.DCE,0.0
V.DCE,0.0
FU.SHF,0.0
RU.SHF,-19.0
HC.SHF,-51.0
BU.SHF,-60.0
