,HOLDINGS
V.DCE,26.0
L.DCE,19.0
PP.DCE,19.0
ZC.CZC,13.0
JM.DCE,11.0
J.DCE,4.0
I.DCE,0.0
EG.DCE,0.0
RU.SHF,-7.0
RB.SHF,-22.0
HC.SHF,-22.0
BU.SHF,-24.0
TA.CZC,-25.0
MA.CZC,-32.0
