,HOLDINGS
MA.CZC,6.0
RB.SHF,4.0
J.DCE,1.0
L.DCE,0.0
JM.DCE,0.0
HC.SHF,0.0
BU.SHF,0.0
ZC.CZC,0.0
I.DCE,0.0
EG.DCE,0.0
RU.SHF,-1.0
PP.DCE,-4.0
V.DCE,-4.0
TA.CZC,-6.0
