,HOLDINGS
MA.CZC,323.0
FU.SHF,283.0
RB.SHF,226.0
L.DCE,195.0
PP.DCE,192.0
J.DCE,40.0
EG.DCE,0.0
JM.DCE,0.0
SC.INE,0.0
I.DCE,-133.0
ZC.CZC,-142.0
HC.SHF,-231.0
V.DCE,-258.0
BU.SHF,-258.0
TA.CZC,-259.0
