,HOLDINGS
MA.CZC,315.0
FU.SHF,279.0
RB.SHF,218.0
L.DCE,191.0
PP.DCE,188.0
J.DCE,38.0
EG.DCE,0.0
JM.DCE,0.0
SC.INE,0.0
I.DCE,-133.0
ZC.CZC,-134.0
HC.SHF,-218.0
BU.SHF,-243.0
TA.CZC,-253.0
V.DCE,-256.0
