,PP.DCE,MA.CZC,ZC.CZC,L.DCE,V.DCE,EG.DCE,TA.CZC,J.DCE,RB.SHF,I.DCE,JM.DCE,HC.SHF,BU.SHF,SC.INE,FU.SHF
2017-06-23,0.0,0.0,0.0,286.0,0.0,0,-523.0,-76.0,-403.0,288.0,200.0,0.0,552.0,0,-330.0
2017-06-26,0.0,0.0,0.0,283.0,0.0,0,-521.0,-76.0,-397.0,289.0,204.0,0.0,548.0,0,-330.0
2017-06-27,257.0,0.0,0.0,225.0,-323.0,0,-417.0,-60.0,-310.0,219.0,159.0,0.0,436.0,0,-264.0
2017-06-28,259.0,0.0,0.0,227.0,-324.0,0,-415.0,-59.0,-305.0,219.0,155.0,0.0,434.0,0,-264.0
2017-06-29,254.0,0.0,0.0,223.0,-316.0,0,-410.0,-57.0,-303.0,210.0,147.0,0.0,427.0,0,-264.0
2017-06-30,253.0,0.0,0.0,222.0,-314.0,0,-412.0,-57.0,-299.0,211.0,149.0,0.0,425.0,0,-264.0
2017-07-03,251.0,0.0,0.0,221.0,-313.0,0,-410.0,-56.0,-293.0,205.0,145.0,0.0,423.0,0,-264.0
2017-07-04,256.0,0.0,0.0,227.0,-317.0,0,-413.0,-57.0,-298.0,215.0,151.0,0.0,429.0,0,-264.0
2017-07-05,255.0,0.0,0.0,227.0,-309.0,0,-404.0,-56.0,-292.0,213.0,148.0,0.0,422.0,0,-264.0
2017-07-06,250.0,0.0,0.0,223.0,-305.0,0,-405.0,-56.0,-293.0,212.0,148.0,0.0,421.0,0,-264.0
2017-07-07,247.0,0.0,0.0,222.0,-303.0,0,-404.0,-56.0,-292.0,208.0,148.0,0.0,421.0,0,-264.0
2017-07-10,250.0,0.0,0.0,226.0,-303.0,0,-404.0,-55.0,-291.0,208.0,148.0,0.0,421.0,0,-264.0
2017-07-11,248.0,0.0,0.0,222.0,-300.0,0,-385.0,-53.0,-281.0,205.0,145.0,0.0,408.0,0,-264.0
2017-07-12,248.0,0.0,0.0,220.0,-303.0,0,-379.0,-54.0,-280.0,205.0,146.0,0.0,408.0,0,-264.0
2017-07-13,249.0,0.0,0.0,219.0,-302.0,0,-377.0,-53.0,-273.0,204.0,141.0,0.0,404.0,0,-264.0
2017-07-14,248.0,0.0,0.0,218.0,-305.0,0,-371.0,-54.0,-282.0,208.0,143.0,0.0,398.0,0,-264.0
2017-07-17,246.0,0.0,0.0,218.0,-306.0,0,-371.0,-52.0,-276.0,202.0,136.0,0.0,389.0,0,-264.0
2017-07-18,222.0,0.0,0.0,197.0,-274.0,0,-336.0,48.0,-254.0,176.0,122.0,-249.0,355.0,0,-264.0
2017-07-19,220.0,0.0,0.0,197.0,-268.0,0,-337.0,47.0,-247.0,171.0,121.0,-244.0,350.0,0,-264.0
2017-07-20,214.0,0.0,0.0,188.0,-268.0,0,-344.0,47.0,-260.0,176.0,122.0,-251.0,353.0,0,-264.0
2017-07-21,214.0,0.0,0.0,-188.0,-265.0,0,347.0,47.0,-258.0,174.0,120.0,-251.0,357.0,0,-264.0
2017-07-24,215.0,0.0,0.0,-189.0,-266.0,0,348.0,48.0,-259.0,178.0,122.0,-254.0,355.0,0,-264.0
2017-07-25,214.0,0.0,0.0,-189.0,-265.0,0,349.0,47.0,-255.0,173.0,120.0,-250.0,344.0,0,-264.0
2017-07-26,217.0,0.0,0.0,-191.0,-267.0,0,353.0,47.0,-255.0,176.0,119.0,-249.0,346.0,0,-264.0
2017-07-27,218.0,0.0,0.0,-190.0,-263.0,0,347.0,47.0,-255.0,173.0,118.0,-248.0,343.0,0,-264.0
2017-07-28,222.0,0.0,0.0,-192.0,-266.0,0,352.0,46.0,-256.0,172.0,119.0,-248.0,350.0,0,-264.0
2017-07-31,221.0,0.0,0.0,-190.0,-266.0,0,349.0,44.0,-244.0,159.0,113.0,-239.0,340.0,0,-264.0
2017-08-01,218.0,0.0,0.0,-188.0,-264.0,0,352.0,44.0,-246.0,166.0,115.0,-241.0,342.0,0,-264.0
2017-08-02,217.0,0.0,0.0,-188.0,-255.0,0,355.0,43.0,-244.0,167.0,113.0,-239.0,335.0,0,-264.0
2017-08-03,220.0,0.0,0.0,-191.0,-256.0,0,356.0,45.0,-241.0,167.0,118.0,-239.0,340.0,0,-264.0
2017-08-04,216.0,0.0,0.0,-187.0,-247.0,0,354.0,45.0,-234.0,166.0,120.0,-233.0,339.0,0,-264.0
2017-08-07,219.0,0.0,0.0,-190.0,-247.0,0,351.0,44.0,-223.0,161.0,122.0,-226.0,344.0,0,-264.0
2017-08-08,214.0,0.0,0.0,-186.0,-244.0,0,348.0,44.0,-234.0,166.0,118.0,-227.0,339.0,0,-264.0
2017-08-09,207.0,0.0,0.0,-185.0,-246.0,0,344.0,42.0,-227.0,160.0,113.0,-222.0,334.0,0,-264.0
2017-08-10,206.0,0.0,0.0,-185.0,-241.0,0,343.0,42.0,-229.0,161.0,114.0,-226.0,333.0,0,-264.0
2017-08-11,209.0,0.0,0.0,-190.0,-250.0,0,351.0,42.0,-235.0,170.0,114.0,-231.0,352.0,0,-264.0
2017-08-14,210.0,0.0,0.0,-190.0,-252.0,0,349.0,43.0,-239.0,173.0,117.0,-235.0,350.0,0,-264.0
