,HOLDINGS
RB.SHF,4.0
HC.SHF,4.0
JM.DCE,2.0
TA.CZC,0.0
L.DCE,0.0
MA.CZC,0.0
ZC.CZC,0.0
I.DCE,0.0
PP.DCE,0.0
V.DCE,0.0
J.DCE,-1.0
EG.DCE,-4.0
BU.SHF,-5.0
