,HOLDINGS
V.DCE,14.0
HC.SHF,7.0
TA.CZC,6.0
RU.SHF,1.0
L.DCE,0.0
MA.CZC,0.0
RB.SHF,0.0
J.DCE,0.0
BU.SHF,0.0
PP.DCE,0.0
EG.DCE,0.0
